name,rate,reviews
타오르는 여인의 초상,9,"화려하지 않지만, 섬세하고 아름다운 한폭의 회화를 품었다. 기대이상으로 짙은 여운이 남는다."
에미,10,예전에 봤던 영화인데 그때 인상깊게 본 영화라 가끔씩 생각나곤 했는데 윤여정님의 오스카상 수상을 계기로 다시 생각나네요. 예전에는 이렇게 평점주는 시스템이 없어서 못했는데 이번 기회에 만점을 드립니다. 추천하고 싶은 영화입니다.
사도,8,어릴때 본 영조는 군주로서는 훌륭할지 모르지만 아버지로서는 아동학대범에 지나지 않다고 생각했다. 하지만 역사를 깊이 배우면서 생각을 달리하게 됐다. 손자를 비롯한 여러 목숨을 살리기 위해 사도를 정신병으로 몰아 죽일 수 밖에 없었을 그의 고충. 역모로 그가 죽으면 손자인 정조를 비롯해 삼대를 멸해야 하니 그 선택이 최선이 아니었을까.  지금에 와서 보면 한낱 정치꾼에 불과한 노론의 장난질에 희생된 것이지만.
극장판 귀멸의 칼날: 무한열차편,10,남녀노소에게 재미와 동시에 감동을 줄수 있는  OO라시이 혈투의 로망.
극장판 귀멸의 칼날: 무한열차편,10,정말 너무너무 잼있게  본거 같아요 2기 언제쯤 나올까요?? ㅠㅠ
치즈인더트랩,10,난 재밌어서 잘 봣는데 내가 치인트 웹툰이랑 드라마를 안 봐서 그런가...
트와일라잇,10,
미션 파서블,1,김영광은 앞으로 로맨스만 해라... 로맨스가 찰떡... 코미디는 아니야ㅠㅠ
범털,10,가벼운 마음으로 한번쯤 보시길ㅎㅎ
콜,10,"정말 재밋게 봤습니다. 몰입력 , 연기력, 소재의신선도 모든게 완벽한데 평점이 낮은게 이해가 안되네요"
고질라 VS. 콩,7,집에서 봤는데 집중안되서 죽을뻔... 영화관에서 봤으면 재밌게 봤을것
내일의 기억,9,기대 안하고 봤는데.. 배우들 연기도 괜찮았고..마지막에 살짝 슬픈느낌이 드네요~ 코가 찡했음..
사탄의 베이비 시터: 킬러 퀸,10,"예쁜 여자들, 유혈이 낭자, 급발진하는 개연성, 엉뚱한 감동코드 이게 B급 감성이지 ㅋㅋㅋ"
미나리,6,미나리. 산다는 게 무엇일까. 그래도 미나리처럼 살아봐야하지 않을까. 영화제목하나는 잘 지었네https://blog.naver.com/happymoon315/222322661435
에반 올마이티,10,OCN편성표에 뜰 때 시간 맞춰서 보는 작품ㅜㅜ
노매드랜드,10,"인생은 하나의 긴 여행이다. 어떤 이는 길 위에 있고 또 어떤 이는 지OO래 있지만 결국은 죽음으로 가는 과정에 있다. 그 여정 속에서 길 위를 방랑하기도 하고, 다시 집으로 돌아가 뿌리를 내리기도 하며, 자신만의 꿈을 좇아 떠나기도 한다. 우리는 그렇게 살아가고 인생의 다음 단계를 향해 나아가고 있다."
차인표,8,차인표를 모르는 사람들은 그냥 좀...짜져라 ㅋㅋ 왕초 정말 재밌게 봤었는데...짧은 에피소드를 통해 차인표라는 케릭터를 가볍게 볼 수있게 만들었다. 이런 도전 좋은것 같아요 ㅎㅎ
투스카니의 태양,10,돌싱녀 휑한 마음 치유 영화!!!
미나리,8,"할머니는 늘 옳았다  옳게 도와주고 계셨다.  내가 손자의 병을 대신 옮겨와서 구하고, 미나리를 심어 물없이도 손안가도 잘자라는 한국채소를 점지해주셨고, 부부가 갈라서려 하자 더 큰 화를 일으켜 둘이 화합하게 만드셨다. 할머니가 알고 한 것은 아닐지나, 대자연에서는 그렇게 늘 옳게 이롭게 이끌어주고 계셨다  할머니를 통해.    할머니가 트러블메이커가 아니라 사실은 클리너셨던 것. 미나리의 상징은 정화다   과연 우리에게 화가 닥치는 것이 과연 화일까? 오히려 또다른 더큰 일생의 문제를 해결코자 함이 아니었을까  단지 우리의 안목이 그것을 안좋은 눈으로 밖에 볼수 없었던 시기가 있었을 뿐"
내일의 기억,1,1점도 아까움. 시간 낭비
감출 수 없는 본능-몰카,1,불법촬영이 뭔자랑이라고 영화까지 만들어 범죄자인증하는꼴아닌가
내일의 기억,8,김강우 때문에 자동차 극장에서 봣는데시작 10분후 들어가서 좀 아쉽긴 했지만 나륾 반전반전 완전 스릴러 잼나게 잘 봤어요남주 연기 굿굿
더 파더,9,안소니홉킨스의 엄청난 연기력겸허히 감상했습니다.
내일의 기억,2,그저 그런 영화 괜히 봤다
명탐정 코난: 비색의 탄환,10,코난은 위험에 처하고 탈출하기 위한 노력부터 재미가 시작된다
잭 스나이더의 저스티스 리그,10,천차만별이군요..개개인의 능력은..뛰어난 한 사람만 있으면.. 그 사람이 나머지 다를 먹여 살린다는 말이 과장이 아닌듯 합니다.저스티스리그가 아닌.. 잭 스나이더의 저스티스 리그를 권합니다.
벤자민 버튼의 시간은 거꾸로 간다,10,이 영화를 이제야 보다니....너무 감동적이고 여운이 오래 남네요. 벤자민의 마지막 모습이 아련합니다..ㅡㅡ;;
죽여주는 여자,10,윤여정 배우님의 오스카 수상을 계기로 예전 작품을 보던중 우연히 보게 되었다.나이 마흔을 갓 넘긴 내가 너무도 참담하고 애잔하고 쓸쓸하고 눈물이 났다.대부분 젊은이들은 나는 저렇게 늙지 않을테야 하겠지만..왜 이렇게 가슴이 찡해질까.마지막 소영의 선택에서 하지마하지마를 외쳤는데ㅜㅜ 평생 혼자서 벌어먹고 살아야했던 소영이 너무 가엽다.
뷰티풀 크리처스,10,굿굿 재밋당~~ 판타지굿~
내일의 기억,10,스토리 진짜 최고입니다! 배우들 연기도 너무 좋았습니다!
